
 !***TRACE Bacon number     1 on file (47)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------------------------
 | Nodes |           Displ.(X,Y,Z)(1.3)           |
 --------------------------------------------------
 |     1 | -2.95730E-02 -1.53307E-01 -1.05262E-01 |
 |     2 | -2.74791E-02 -1.50696E-01 -1.02522E-01 |
 |     3 | -2.53852E-02 -1.48085E-01 -9.97815E-02 |
 |     4 | -2.13566E-02 -1.46250E-01 -8.90558E-02 |
 |     5 | -1.73280E-02 -1.44416E-01 -7.83301E-02 |
 |     6 | -8.72428E-03 -1.44461E-01 -6.26700E-02 |
 |     7 | -1.20580E-04 -1.44507E-01 -4.70099E-02 |
 |     8 | -2.75444E-02 -1.40332E-01 -1.05468E-01 |
 |     9 | -2.54505E-02 -1.37721E-01 -1.02728E-01 |
 |    10 | -2.43557E-02 -1.35661E-01 -9.99475E-02 |
 |    11 | -2.03271E-02 -1.33827E-01 -8.92218E-02 |
 |    12 | -1.71080E-02 -1.31514E-01 -7.85878E-02 |
 |    13 | -8.50429E-03 -1.31559E-01 -6.29277E-02 |
 |    14 | -1.08283E-04 -1.30060E-01 -4.70099E-02 |
 |    15 | -2.55158E-02 -1.27358E-01 -1.05674E-01 |
 |    16 | -2.44210E-02 -1.25297E-01 -1.02893E-01 |
 |    17 | -2.33262E-02 -1.23237E-01 -1.00113E-01 |
 |    18 | -2.01071E-02 -1.20924E-01 -8.94795E-02 |
 |    19 | -1.68880E-02 -1.18611E-01 -7.88455E-02 |
 |    20 | -8.49199E-03 -1.17113E-01 -6.29277E-02 |
 |    21 | -9.59870E-05 -1.15614E-01 -4.70099E-02 |
 |    22 | -2.27517E-02 -1.12465E-01 -1.05758E-01 |
 |    23 | -2.16569E-02 -1.10404E-01 -1.02978E-01 |
 |    24 | -2.09325E-02 -1.08790E-01 -1.00241E-01 |
 |    25 | -1.77134E-02 -1.06477E-01 -8.96072E-02 |
 |    26 | -1.46745E-02 -1.04008E-01 -7.88825E-02 |
 |    27 | -6.27847E-03 -1.02509E-01 -6.29647E-02 |
 |    28 | -8.36908E-05 -1.01167E-01 -4.70099E-02 |
 |    29 | -1.99875E-02 -9.75718E-02 -1.05843E-01 |
 |    30 | -1.92632E-02 -9.59571E-02 -1.03106E-01 |
 |    31 | -1.85388E-02 -9.43424E-02 -1.00369E-01 |
 |    32 | -1.54999E-02 -9.18735E-02 -8.96442E-02 |
 |    33 | -1.24610E-02 -8.94045E-02 -7.89195E-02 |
 |    34 | -6.26617E-03 -8.80626E-02 -6.29647E-02 |
 |    35 | -7.13945E-05 -8.67206E-02 -4.70099E-02 |
 |    36 | -1.67676E-02 -8.15751E-02 -1.05901E-01 |
 |    37 | -1.60432E-02 -7.99605E-02 -1.03164E-01 |
 |    38 | -1.56048E-02 -7.89712E-02 -1.00469E-01 |
 |    39 | -1.25658E-02 -7.65022E-02 -8.97445E-02 |
 |    40 | -1.01514E-02 -7.44936E-02 -7.89028E-02 |
 |    41 | -3.95660E-03 -7.31517E-02 -6.29481E-02 |
 |    42 | -5.90982E-05 -7.22741E-02 -4.70099E-02 |
 |    43 | -1.35476E-02 -6.55785E-02 -1.05959E-01 |
 |    44 | -1.31092E-02 -6.45892E-02 -1.03264E-01 |
 |    45 | -1.26707E-02 -6.35999E-02 -1.00569E-01 |
 |    46 | -1.02563E-02 -6.15913E-02 -8.97278E-02 |
 |    47 | -7.84180E-03 -5.95827E-02 -7.88862E-02 |
 |    48 | -3.94430E-03 -5.87051E-02 -6.29481E-02 |
 |    49 | -4.68020E-05 -5.78275E-02 -4.70099E-02 |
 |    50 | -1.01943E-02 -4.92637E-02 -1.05999E-01 |
 |    51 | -9.75582E-03 -4.82744E-02 -1.03304E-01 |
 |    52 | -9.56067E-03 -4.78432E-02 -1.00633E-01 |
 |    53 | -7.14621E-03 -4.58346E-02 -8.97915E-02 |
 |    54 | -5.76900E-03 -4.46746E-02 -7.88649E-02 |
 |    55 | -1.87151E-03 -4.37970E-02 -6.29267E-02 |
 |    56 | -3.45057E-05 -4.33809E-02 -4.70099E-02 |
 |    57 | -6.84092E-03 -3.29488E-02 -1.06038E-01 |
 |    58 | -6.64578E-03 -3.25177E-02 -1.03368E-01 |
 |    59 | -6.45063E-03 -3.20865E-02 -1.00697E-01 |
 |    60 | -5.07342E-03 -3.09265E-02 -8.97701E-02 |
 |    61 | -3.69621E-03 -2.97665E-02 -7.88435E-02 |
 |    62 | -1.85921E-03 -2.93504E-02 -6.29267E-02 |
 |    63 | -2.22094E-05 -2.89344E-02 -4.70099E-02 |
