
 !***TRACE Bacon number     1 on file (49)***


 (1.n)= n (average) component(s) per node
 (2.n)= n (average) component(s) per element
 (3.n)= n component(s) per node per element

 --------------------------------
 | Elements | V. Mises:U.S(2.1) |
 --------------------------------
 |        1 |       2.99508E+01 |
 |        2 |       3.65322E+01 |
 |        3 |       3.65744E+01 |
 |        4 |       3.39360E+01 |
 |        5 |       4.95822E+01 |
 |        6 |       3.00619E+01 |
 |        7 |       2.05912E+01 |
 |        8 |       2.32300E+01 |
 |        9 |       2.29725E+01 |
 |       10 |       2.44459E+01 |
 |       11 |       3.49317E+01 |
 |       12 |       2.92466E+01 |
 |       13 |       2.07186E+01 |
 |       14 |       2.13192E+01 |
 |       15 |       2.32310E+01 |
 |       16 |       2.46529E+01 |
 |       17 |       3.23780E+01 |
 |       18 |       2.61652E+01 |
 |       19 |       2.08194E+01 |
 |       20 |       2.16008E+01 |
 |       21 |       2.49744E+01 |
 |       22 |       2.60864E+01 |
 |       23 |       2.89375E+01 |
 |       24 |       2.48532E+01 |
 |       25 |       2.12560E+01 |
 |       26 |       2.17590E+01 |
 |       27 |       2.57228E+01 |
 |       28 |       2.69736E+01 |
 |       29 |       2.66767E+01 |
 |       30 |       2.51401E+01 |
 |       31 |       2.15324E+01 |
 |       32 |       2.15931E+01 |
 |       33 |       2.55038E+01 |
 |       34 |       2.71588E+01 |
 |       35 |       2.54138E+01 |
 |       36 |       2.68257E+01 |
 |       37 |       2.15723E+01 |
 |       38 |       2.11401E+01 |
 |       39 |       2.45367E+01 |
 |       40 |       2.63550E+01 |
 |       41 |       2.49385E+01 |
 |       42 |       3.01333E+01 |
 |       43 |       2.13568E+01 |
 |       44 |       2.09096E+01 |
 |       45 |       2.27537E+01 |
 |       46 |       2.44200E+01 |
 |       47 |       2.49794E+01 |
 |       48 |       3.51954E+01 |
 |       49 |       2.09422E+01 |
 |       50 |       2.29868E+01 |
 |       51 |       1.94315E+01 |
 |       52 |       2.39596E+01 |
 |       53 |       2.42828E+01 |
 |       54 |       4.01486E+01 |
 |       55 |       1.96593E+01 |
 |       56 |       4.21042E+01 |
 |       57 |       1.99190E+01 |
 |       58 |       4.62627E+01 |
 |       59 |       3.64775E+01 |
 |       60 |       4.77054E+01 |
 |       61 |       3.25223E+01 |
 |       62 |       2.43309E+01 |
 |       63 |       1.43666E+01 |
 |       64 |       1.44438E+01 |
 |       65 |       2.47426E+01 |
 |       66 |       3.14770E+01 |
 |       67 |       3.26593E+01 |
 |       68 |       2.29736E+01 |
 |       69 |       2.01833E+01 |
 |       70 |       2.01854E+01 |
 |       71 |       2.02371E+01 |
 |       72 |       2.01316E+01 |
 |       73 |       1.98634E+01 |
 |       74 |       1.96410E+01 |
 |       75 |       2.19809E+01 |
 |       76 |       3.25889E+01 |
 |       77 |       2.45032E+01 |
 |       78 |       2.24881E+01 |
 |       79 |       2.05944E+01 |
 |       80 |       2.01535E+01 |
 |       81 |       2.01681E+01 |
 |       82 |       2.01285E+01 |
 |       83 |       2.00835E+01 |
 |       84 |       2.06742E+01 |
 |       85 |       2.29585E+01 |
 |       86 |       2.45804E+01 |
 |       87 |       1.92786E+01 |
 |       88 |       2.09712E+01 |
 |       89 |       2.12076E+01 |
 |       90 |       2.09066E+01 |
 |       91 |       2.07671E+01 |
 |       92 |       2.07925E+01 |
 |       93 |       2.10103E+01 |
 |       94 |       2.14339E+01 |
 |       95 |       2.11328E+01 |
 |       96 |       1.92886E+01 |
 |       97 |       1.57812E+01 |
 |       98 |       1.95647E+01 |
 |       99 |       2.11151E+01 |
 |      100 |       2.14356E+01 |
 |      101 |       2.14110E+01 |
 |      102 |       2.14487E+01 |
 |      103 |       2.15490E+01 |
 |      104 |       2.12392E+01 |
 |      105 |       1.96330E+01 |
 |      106 |       1.57591E+01 |
 |      107 |       1.45699E+01 |
 |      108 |       1.89409E+01 |
 |      109 |       2.07832E+01 |
 |      110 |       2.14310E+01 |
 |      111 |       2.16051E+01 |
 |      112 |       2.16329E+01 |
 |      113 |       2.14907E+01 |
 |      114 |       2.08363E+01 |
 |      115 |       1.89379E+01 |
 |      116 |       1.44901E+01 |
 |      117 |       1.55746E+01 |
 |      118 |       1.85947E+01 |
 |      119 |       2.02226E+01 |
 |      120 |       2.09658E+01 |
 |      121 |       2.12384E+01 |
 |      122 |       2.12479E+01 |
 |      123 |       2.09878E+01 |
 |      124 |       2.02309E+01 |
 |      125 |       1.85628E+01 |
 |      126 |       1.55201E+01 |
 |      127 |       1.76278E+01 |
 |      128 |       1.83620E+01 |
 |      129 |       1.95005E+01 |
 |      130 |       2.01717E+01 |
 |      131 |       2.04587E+01 |
 |      132 |       2.04604E+01 |
 |      133 |       2.01709E+01 |
 |      134 |       1.94851E+01 |
 |      135 |       1.83246E+01 |
 |      136 |       1.75694E+01 |
 |      137 |       1.93116E+01 |
 |      138 |       1.84220E+01 |
 |      139 |       1.88313E+01 |
 |      140 |       1.92661E+01 |
 |      141 |       1.94947E+01 |
 |      142 |       1.94917E+01 |
 |      143 |       1.92551E+01 |
 |      144 |       1.88082E+01 |
 |      145 |       1.83833E+01 |
 |      146 |       1.92736E+01 |
 |      147 |       1.99545E+01 |
 |      148 |       1.86037E+01 |
 |      149 |       1.83370E+01 |
 |      150 |       1.84449E+01 |
 |      151 |       1.85519E+01 |
 |      152 |       1.85474E+01 |
 |      153 |       1.84309E+01 |
 |      154 |       1.83120E+01 |
 |      155 |       1.85709E+01 |
 |      156 |       1.99170E+01 |
 |      157 |       2.02391E+01 |
 |      158 |       1.86384E+01 |
